gene,degree_centrality,betweenness_centrality,eigenvector_centrality,composite_score
ANO5,0.06756756756756757,0.02915179302501363,0.00018655730301087402,0.032301972631864025
FADS1,0.06756756756756757,0.0288573159439925,0.0001992031053850281,0.03220802887231503
GAS1RR,0.08108108108108107,0.014516090338109326,0.00036843255957675513,0.031988534659589056
ACOX2,0.09459459459459459,0.0005644140755604285,5.161842677688629e-06,0.03172139017094424
ANXA2P2,0.09459459459459459,0.00010125852695750972,1.7718248176175105e-05,0.03157119045657609
ERGIC1,0.08108108108108107,0.006956271023188577,1.41150408761135e-05,0.02935048904838192
C1QTNF3-AMACR,0.06756756756756757,0.019548802993214803,0.00019593634243218,0.029104102301071518
FKBPL,0.06756756756756757,0.01525425132120619,0.0005432100355670355,0.027788342974780268
ECT2,0.08108108108108107,0.001193964878259893,1.9940650770553095e-06,0.02742568000813934
EVA1C,0.08108108108108107,0.0005208247826780438,3.0661474532036214e-05,0.027210855779430387
EBNA1BP2,0.08108108108108107,0.0004157264929118509,7.797494313884897e-06,0.027168201689435605
COX7A2,0.08108108108108107,0.00012761277656135844,2.0604012629603998e-06,0.027070251419635132
CCL2,0.06756756756756757,0.007931486932571088,0.0009899995534828428,0.02549635135120717
BAG6,0.05405405405405406,0.018222846045986063,3.1893136704389976e-06,0.024093363137903518
CRISPLD2,0.06756756756756757,0.00468527739698338,6.50544817760304e-06,0.024086450137576182
ARFGEF3,0.040540540540540536,0.03155169875381775,1.1097856733174576e-05,0.02403444571703049
CGREF1,0.06756756756756757,0.004307721984007894,0.00019872261240892023,0.024024670721328124
CRCP,0.06756756756756757,0.003007298956482264,4.627037528144791e-06,0.023526497853859324
CD40,0.06756756756756757,0.0004980776870625183,2.7129719019296324e-06,0.022689452742177343
BNIPL,0.06756756756756757,0.0004160661965673354,2.6873618898394717e-05,0.02267016912767777
CAVIN1,0.06756756756756757,0.00026454170131603387,5.716192759443651e-06,0.022612608487214355
CCT5,0.06756756756756757,6.78046771602589e-05,4.806273283707386e-06,0.022546726172670516
