gene,log2FC,pvalue,adjusted_pvalue
FBXL19,1.0389857996314633,0.00026266127128435465,0.004100763280480903
FBXO17,-1.5824053488100744,1.9559970823191142e-05,0.0006193125275242541
FCGRT,-1.005126598575703,0.001759662098519091,0.011457284279317357
FERMT2,-1.0234605770552287,1.9252857040025685e-06,0.00011645184652975115
FEZ1,-1.1685990441537517,0.0001655353326493311,0.002961289154985992
FGF1,-1.087816947143637,0.01658118246638191,0.0466328106911857
FGF10,-1.237460456847438,0.013241895338457215,0.03958554062535316
FHDC1,-1.344514787255081,2.0236312871459867e-07,2.4277296443324378e-05
FHL2,-1.5090591447433872,3.7503200319147025e-09,1.2985180665340793e-06
FKBP6P1,-1.1886575156553107,0.006152873359211856,0.023213309736766417
FKBP9,-1.2110043431664563,2.053355802378409e-05,0.0006463253520477611
FKBPL,1.4368060001069103,9.811062062827708e-05,0.0020329543368988647
FLJ16779,1.02056439024437,0.0019177768327005087,0.011948929172814869
FLJ20021,1.0417850344759514,0.0005562925606015033,0.00666030808613077
FLOT2,-1.012538794016509,8.056450433414653e-06,0.0003275526921479401
FLRT2-AS1,1.0303198665996174,0.0009773594969803426,0.00890533799731622
FLRT3,-1.7550018151385118,1.6585184732123904e-06,0.00010440884476378412
FMC1,1.0806415213152316,0.0002802778761331139,0.00424310660574722
FMO2,-1.074414209545442,0.012087158708014951,0.037022588287305105
FNDC7,1.0155757663819833,0.0050588740605922635,0.02039415013309561
FOXF1,-1.0354705274741673,0.0007529292439005705,0.007938238506964679
FOXN3-AS2,1.0104898257325887,0.00247240774174423,0.01352923196329936
FOXP4-AS1,1.39774242358485,3.886736267614131e-07,3.898905021349184e-05
FOXQ1,-1.2251175471672526,2.849273485449524e-06,0.00015764266472202302
FRAT1,-1.0212395470102278,0.009941707573053458,0.03224333531813546
FRMD1,1.0184198253294623,0.0009881333638327504,0.008958824736036375
FRMD6,-1.369965513519116,1.3943504116244729e-06,9.125768379982488e-05
FRMD8P1,1.0283562220431173,0.0023983892982774617,0.013314254736519851
FSCN3,1.0307301005352065,0.0011389350886312642,0.009595142144112261
FSHR,1.0876515065687904,0.0013497404186718304,0.01032972462304035
FTH1,-1.0045330270556505,2.307557868403842e-06,0.0001353452042650964
FTSJ3,-1.2226100448917254,0.00017703390062167847,0.003116294950613814
FUCA2,1.2201650189247664,3.7897969635856655e-06,0.00019232995606925174
FXYD6,-1.1953638394031065,0.00019938907900250437,0.003362360847562263
GABARAPL2,-1.1741953641663347,9.700507392286547e-05,0.0020197942986441833
GABPB1-AS1,1.1315715023198907,4.834207657678351e-05,0.0011941994912241791
GABRE,-1.667551324030194,2.6959071078680186e-06,0.000151900396950596
GALNT17,-1.1072679065042943,0.0012474036710482682,0.009994239017299456
GALNT7,1.2726161881740934,3.83686310962125e-05,0.001006918586482144
GALR3,1.0004885302898492,0.0017473982181606352,0.01143640169184584
GARS1,1.1086119024482874,0.0011369542261984715,0.009586408630715863
GAS1RR,-1.3376791458090471,0.002592616661424916,0.013817205032474845
GATA3,-1.0436517476447502,0.003988756823085778,0.017553637294215333
GATD1,1.2367265688871445,0.0006041669156453274,0.006995496859848028
GBP1,-1.0227642260763206,1.1623403980207134e-05,0.00043060955008195995
GBP2,-1.1385502617534444,0.0004589288802246997,0.005904466558447867
GCDH,1.0330310726573655,0.0002449892507608534,0.003889360014689791
GCM1,1.0055769593624788,0.0011015749137493983,0.009459003469383333
GCN1,1.332059924208456,7.2615479548156164e-06,0.00030625471502166373
GCNT1,1.2530320610514205,6.746476094731506e-06,0.00029198911759193796
GCNT2,-1.6026232636226145,2.0857738096430392e-13,6.396472338801017e-10
GCNT4,-1.0094518117799425,0.01752619818043051,0.048495074231024164
GDF15,1.3109176646281988,1.6541880860305747e-06,0.00010440884476378412
GDI1,1.1763229119920597,0.0005279205786870728,0.006479628966652598
GGA2,-1.4579959024968077,1.2368855877616697e-11,1.327611145623988e-08
GGCT,1.3125303330672118,0.00014017746955896656,0.0026350172846079994
GIP,1.254119297420285,0.002592154556758266,0.013817205032474845
GIPC1,1.0418316972883241,0.001835119459147948,0.01171061516930113
GIPR,-1.0954531367976632,0.0007234454462716417,0.00781578603855304
GJA1,-1.5319425948875716,1.1163898764456985e-10,7.730819831503164e-08
GJB1,1.749999887862776,1.2733630923069197e-07,1.752261891189272e-05
GLB1L,-1.0166051163538192,0.00039949598379191326,0.005427835622823419
GLRX5,1.170119862757261,7.691530447931764e-06,0.0003187530581578208
GLYATL1,1.5059687495537457,8.655069170818077e-11,6.406840341032817e-08
GLYCTK-AS1,1.0159326298510434,0.0024466606941142416,0.013450055088489225
GMDS,1.2197198070294832,1.0780157197619663e-06,7.637545695092453e-05
GMNN,-1.0557745220631642,2.347661419840592e-06,0.00013694904266227715
GMPR,-1.0608416020612268,1.057326766510099e-05,0.0004017280300295981
GNAI2,-1.1083256566583195,9.738287009685447e-07,7.062561055301267e-05
GNAL,-1.195119925840929,3.126721764612651e-05,0.000877454489277706
GNB2,1.4067090257104644,0.00013009227935791189,0.0025089057755807967
GNL2,1.292274317180022,6.378368281348251e-05,0.0014802641286021936
GNPNAT1,1.1662823377836191,0.00014756263102659419,0.002733155306512422
GOLM1,1.1519429499990221,1.8645597622594016e-08,4.350707001785062e-06
GOLPH3,1.53620054529078,7.410904722778913e-07,5.848893076613784e-05
GPC1,-1.1548767766805499,8.770130442155655e-06,0.0003480007212601764
GPD1L,-1.2287949727042826,8.231318236385914e-07,6.288317031334391e-05
GPI,1.6038727750393684,1.3545725842509924e-07,1.8232174809408154e-05
GPM6A-DT,1.037161953176164,0.0008407031138527384,0.008358930240509968
GPM6B,-1.1397950620526112,1.1257892592964859e-06,7.872090563295656e-05
GPR160,1.2551960499893258,5.611181136889123e-05,0.001336905943014415
GPR199P,1.2301290191691379,0.0006319862578135101,0.007170639004483415
GPR32,1.0722903051369046,0.0010558614744565912,0.009293226023845693
GPR75-ASB3,-1.5016242989060369,2.477934447951974e-07,2.7561564142064785e-05
GPR87,-1.1634589670958584,0.003518408975889845,0.016299025784511718
GPR89A,1.196056013607035,0.00015379218118540713,0.0028120973435453813
GPRC5B,-1.1209437062291816,6.8469097552784896e-06,0.0002939652234331267
GPX3,-1.5426181061108082,1.6093754741915196e-10,1.0796394782646672e-07
GPX5,1.003342247165352,0.0011817937806616707,0.009744133445929896
